imagem,fator_luminancia,deteccoes_validas,confianca_media
DSCN7622.JPG,0.7,7,0.7833
DSCN7622.JPG,0.8,7,0.7803
DSCN7622.JPG,0.9,7,0.7507
DSCN7622.JPG,1.0,6,0.8078
DSCN7622.JPG,1.1,6,0.8057
DSCN7622.JPG,1.2,6,0.8151
DSCN7622.JPG,1.3,6,0.7919
DSCN7622.JPG,1.4,6,0.7648
DSCN7622.JPG,1.5,8,0.6051
DSCN7623.JPG,0.1,18,0.6795
DSCN7623.JPG,0.2,18,0.7578
DSCN7623.JPG,0.3,18,0.757
DSCN7623.JPG,0.4,17,0.7863
DSCN7623.JPG,0.5,17,0.7823
DSCN7623.JPG,0.6,19,0.7488
DSCN7623.JPG,0.7,20,0.732
DSCN7623.JPG,0.8,20,0.7339
DSCN7623.JPG,0.9,21,0.7099
DSCN7623.JPG,1.0,22,0.6962
DSCN7623.JPG,1.1,22,0.6889
DSCN7623.JPG,1.2,21,0.6991
DSCN7623.JPG,1.3,23,0.6699
DSCN7623.JPG,1.4,22,0.6911
DSCN7623.JPG,1.5,21,0.6994
DSCN7623.JPG,0.1,18,0.6795
DSCN7623.JPG,0.2,18,0.7578
DSCN7623.JPG,0.3,18,0.757
DSCN7623.JPG,0.4,17,0.7863
DSCN7623.JPG,0.5,17,0.7823
DSCN7623.JPG,0.6,19,0.7488
DSCN7623.JPG,0.7,20,0.732
DSCN7623.JPG,0.8,20,0.7339
DSCN7623.JPG,0.9,21,0.7099
DSCN7623.JPG,1.0,22,0.6962
DSCN7623.JPG,1.1,22,0.6889
DSCN7623.JPG,1.2,21,0.6991
DSCN7623.JPG,1.3,23,0.6699
DSCN7623.JPG,1.4,22,0.6911
DSCN7623.JPG,1.5,21,0.6994
DSCN7624.JPG,0.1,4,0.568
DSCN7624.JPG,0.2,5,0.6793
DSCN7624.JPG,0.3,7,0.5818
DSCN7624.JPG,0.4,7,0.6057
DSCN7624.JPG,0.5,9,0.5513
DSCN7624.JPG,0.6,9,0.5585
DSCN7624.JPG,0.7,9,0.5689
DSCN7624.JPG,0.8,9,0.5752
DSCN7624.JPG,0.9,9,0.5795
DSCN7624.JPG,1.0,9,0.581
DSCN7624.JPG,1.1,9,0.5813
DSCN7624.JPG,1.2,9,0.5733
DSCN7624.JPG,1.3,10,0.5437
DSCN7624.JPG,1.4,10,0.5472
DSCN7624.JPG,1.5,9,0.5717
DSCN7624.JPG,0.1,4,0.568
DSCN7624.JPG,0.2,5,0.6793
DSCN7624.JPG,0.3,7,0.5818
DSCN7624.JPG,0.4,7,0.6057
DSCN7624.JPG,0.5,9,0.5513
DSCN7624.JPG,0.6,9,0.5585
DSCN7624.JPG,0.7,9,0.5689
DSCN7624.JPG,0.8,9,0.5752
DSCN7624.JPG,0.9,9,0.5795
DSCN7624.JPG,1.0,9,0.581
DSCN7624.JPG,1.1,9,0.5813
DSCN7624.JPG,1.2,9,0.5733
DSCN7624.JPG,1.3,10,0.5437
DSCN7624.JPG,1.4,10,0.5472
DSCN7624.JPG,1.5,9,0.5717
DSCN7625.JPG,0.1,14,0.6414
DSCN7625.JPG,0.2,16,0.6761
DSCN7625.JPG,0.3,16,0.6982
DSCN7625.JPG,0.4,17,0.6909
DSCN7625.JPG,0.5,18,0.6697
DSCN7625.JPG,0.6,17,0.6783
DSCN7625.JPG,0.7,18,0.6605
DSCN7625.JPG,0.8,18,0.6613
DSCN7625.JPG,0.9,19,0.6395
DSCN7625.JPG,1.0,18,0.6588
DSCN7625.JPG,1.1,18,0.6589
DSCN7625.JPG,1.2,18,0.6675
DSCN7625.JPG,1.3,16,0.7363
DSCN7625.JPG,1.4,16,0.7418
DSCN7625.JPG,1.5,15,0.7748
DSCN7625.JPG,0.1,14,0.6414
DSCN7625.JPG,0.2,16,0.6761
DSCN7625.JPG,0.3,16,0.6982
DSCN7625.JPG,0.4,17,0.6909
DSCN7625.JPG,0.5,18,0.6697
DSCN7625.JPG,0.6,17,0.6783
DSCN7625.JPG,0.7,18,0.6605
DSCN7625.JPG,0.8,18,0.6613
DSCN7625.JPG,0.9,19,0.6395
DSCN7625.JPG,1.0,18,0.6588
DSCN7625.JPG,1.1,18,0.6589
DSCN7625.JPG,1.2,18,0.6675
DSCN7625.JPG,1.3,16,0.7363
DSCN7625.JPG,1.4,16,0.7418
DSCN7625.JPG,1.5,15,0.7748
DSCN7626.JPG,0.1,0,0.0
DSCN7626.JPG,0.2,0,0.0
DSCN7626.JPG,0.3,0,0.0
DSCN7626.JPG,0.4,0,0.0
DSCN7626.JPG,0.5,0,0.0
DSCN7626.JPG,0.6,0,0.0
DSCN7626.JPG,0.7,0,0.0
DSCN7626.JPG,0.8,0,0.0
DSCN7626.JPG,0.9,0,0.0
DSCN7626.JPG,1.0,0,0.0
DSCN7626.JPG,1.1,0,0.0
DSCN7626.JPG,1.2,0,0.0
DSCN7626.JPG,1.3,0,0.0
DSCN7626.JPG,1.4,0,0.0
DSCN7626.JPG,1.5,0,0.0
DSCN7626.JPG,0.1,0,0.0
DSCN7626.JPG,0.2,0,0.0
DSCN7626.JPG,0.3,0,0.0
DSCN7626.JPG,0.4,0,0.0
DSCN7626.JPG,0.5,0,0.0
DSCN7626.JPG,0.6,0,0.0
DSCN7626.JPG,0.7,0,0.0
DSCN7626.JPG,0.8,0,0.0
DSCN7626.JPG,0.9,0,0.0
DSCN7626.JPG,1.0,0,0.0
DSCN7626.JPG,1.1,0,0.0
DSCN7626.JPG,1.2,0,0.0
DSCN7626.JPG,1.3,0,0.0
DSCN7626.JPG,1.4,0,0.0
DSCN7626.JPG,1.5,0,0.0
DSCN7627.JPG,0.1,23,0.6968
DSCN7627.JPG,0.2,22,0.7862
DSCN7627.JPG,0.3,22,0.7871
DSCN7627.JPG,0.4,22,0.789
DSCN7627.JPG,0.5,22,0.7919
DSCN7627.JPG,0.6,22,0.7937
DSCN7627.JPG,0.7,23,0.7693
DSCN7627.JPG,0.8,23,0.773
DSCN7627.JPG,0.9,24,0.7594
DSCN7627.JPG,1.0,24,0.7577
DSCN7627.JPG,1.1,24,0.756
